pair_id,basicnet,AlexNet,VGG
1,0.48206171,0.30964464,0.58377177
2,0.22900021,0.57882458,0.93379599
3,0.4645668,0.92942244,0.95079654
4,0.35972422,0.384408,0.5092628
5,0.39978069,0.98162663,0.88617605
6,0.29683444,0.72963005,0.67170006
7,0.23210916,0.27410355,0.39698103
8,0.19297822,0.92770827,0.81537533
9,0.40994316,0.52180278,0.46884057
10,0.39886206,0.98374707,0.75776619
11,0.36178169,0.81461567,0.7774902
12,0.18759254,0.95230979,0.79549193
13,0.45108646,0.86831832,0.71641046
14,0.43934473,0.81764191,0.52654564
15,0.44323751,0.86690551,0.74271202
16,0.35009369,0.9202733,0.72730172
17,0.28371966,0.91651678,0.88972729
18,0.48492792,0.8523829,0.72478515
19,0.31685418,0.76868892,0.83105606
20,0.26497537,0.59525675,0.52457714
21,0.30428055,0.81632406,0.80480093
22,0.22200972,0.97727704,0.87169987
23,0.38067889,0.92809635,0.77705538
24,0.36079231,0.90557951,0.76262003
25,0.35910997,0.59271252,0.72500622
26,0.31177607,0.99266845,0.90480965
27,0.29719236,0.99633211,0.89436346
28,0.36440292,0.99713552,0.89569402
29,0.39507931,0.98579228,0.82146269
30,0.29801145,0.7071808,0.52135718
31,0.27067545,0.86335647,0.76449454
32,0.51613718,0.99668336,0.97433418
33,0.42760557,0.36884466,0.5323807
34,0.25223073,0.72329938,0.74939561
35,0.42457795,0.64669281,0.78732264
36,0.32330889,0.4552722,0.6629203
37,0.33633506,0.98065126,0.75591046
38,0.2889328,0.97214198,0.7810064
39,0.52530569,0.4963932,0.70831889
40,0.40526539,0.90478921,0.7392813
41,0.45792976,0.98679554,0.89939481
42,0.35980433,0.96361518,0.93026006
43,0.3107636,0.99515617,0.78309143
44,0.3261047,0.36362049,0.47667691
45,0.21715833,0.94113612,0.74162579
46,0.43942079,0.8898868,0.89687443
47,0.51079035,0.75796783,0.89678746
48,0.22541884,0.49486765,0.62810838
