,Pair_ID,QualID_A,File_A,QualID_B,File_B,What_matches,Style_match,Subject_match
,1,IM_emTS33xeYrMOCPA,marie-laurencin_portrait-of-andr-salmon-1942.jpg,IM_cDdWdCicFqLEUzs,maurice-de-vlaminck_village-on-the-river-1915.jpg,Neither,0,0
,2,IM_e2t6cMCL9z5sGMe,martiros-saryan_eastern-flowers-1916.jpg,IM_3laomKNB68dik2q,andre-derain_landscape-at-cadaques.jpg,Neither,0,0
,3,IM_2r9jzZVbzBJggoC,corneliu-michailescu_still-life-with-fruit-bowl.jpg,IM_82ZiR8dxHMGgTki,max-pechstein_meadow-at-the-moritzburg-1910.jpg,Neither,0,0
,4,IM_0MXal0UHUo0Tg4C,adam-baltatu_pipkin-with-field-flowers.jpg,IM_eXIET07z95XxN6C,william-turner_crossing-the-brook.jpg,Neither,0,0
,5,IM_eQgxUmHXGqjGAJg,jean-alexandru-steriadi_peisaj-de-iarn-1922.jpg,IM_3xxRSb7gSNgFjEi,william-turner_the-vale-of-ashburnham.jpg,Neither,0,0
,6,IM_6sarEKBW0Ch0RFk,vasily-tropinin_girl-with-a-candle.jpg,IM_9YSs77xyd5Kw26G,spyros-papaloukas_landscape-1.jpg,Neither,0,0
,7,IM_3VMYK41eWEbmyFM,m.-h.-maxy_portrait-of-tristan-tzara-1924.jpg,IM_0CbD0dqru3ylV0G,eugene-delacroix_still-life-with-lobsters-1827(1).jpg,Neither,0,0
,8,IM_4ZbpIJzUCpth61E,thomas-cole_a-view-near-tivoli-morning-1832.jpg,IM_bghaFtI040pK7ga,adam-baltatu_still-life-with-apples-and-pipkin.jpg,Neither,0,0
,9,IM_3QMpsmSkEWTAiZ8,martiros-saryan_evening-in-the-mountains-1932.jpg,IM_9B40KaCcehnQPK6,konstantin-makovsky_still-life.jpg,Neither,0,0
,10,IM_6lG54MvpNc8gln0,rudolf-von-alt_st-mark-s-square-in-venice-with-austrian-military.jpg,IM_bHGfikraKRD0ir4,paul-gauguin_the-vase-of-peonies-1884.jpg,Neither,0,0
,11,IM_3jZ7TPJ4C1jufOK,fernand-leger_landscape-1913.jpg,IM_74l6WI8saQjgZeu,martiros-saryan_flowers-of-sambek-1914.jpg,Neither,0,0
,12,IM_3TTqu1iplWFx0xw,paul-cezanne_portrait-of-victor-chocquet-1877.jpg,IM_0MoR5CG49KiYX1Y,juan-gris_the-basket-of-pears-1925.jpg,Neither,0,0
,13,IM_6RVCOjIvZrqsgIu,john-marin_mt-chocorua-no-1-1926.jpg,IM_79fwC0B29M1wxue,amadeo-de-souza-cardoso_brook-house-1913.jpg,Style,1,0
,14,IM_5aTkScmr5QqEvBk,mary-cassatt_young-woman-in-green-outdoors-in-the-sun.jpg,IM_9H7W76Up9rt3fMO,claude-monet_meadow-at-limetz.jpg,Style,1,0
,15,IM_a67yHS4BGDNh0mG,adolphe-joseph-thomas-monticelli_bouquet-of-flowers-1.jpg,IM_bdz8pwrGLbOnTiC,rudolf-von-alt_the-cathedral-square-in-como.jpg,Style,1,0
,16,IM_0CfvxguSmcyD30O,bela-kadar_still-life-1930.jpg,IM_etIHp4O7YFYYdQq,auguste-herbin_villaggio-di-collina.jpg,Style,1,0
,17,IM_cYEwnpatLGE0bHg,vasily-tropinin_boy-with-a-dead-goldfinch-1829.jpg,IM_bE1R4Hix8xOMvUq,thomas-cole_morning-mist-rising-in-plymouth-new-hampshire-1830.jpg,Style,1,0
,18,IM_7ajWm0cpL82Dljg,marcel-janco_fruit-and-dishes-on-the-table.jpg,IM_doolSL1HYIC2b6S,max-pechstein_italian-church-convent-of-san-gimignano-1913.jpg,Style,1,0
,19,IM_0cC6cYgWW75NPF4,edvard-munch_self-portrait-with-striped-pullover-1944.jpg,IM_4YmbuIssWLZ9ffw,martiros-saryan_flamboyant-landscape-1933.jpg,Style,1,0
,20,IM_a5xGfiXjnfzMoMm,m.-h.-maxy_electric-madonna-1926.jpg,IM_1HrnUw3Br1ZY9VA,lyonel-feininger_ships-1917.jpg,Style,1,0
,21,IM_eWHCjVeKCht5ibI,claude-monet_isle-of-flowers-on-siene-near-vetheuil.jpg,IM_4IAwgBjr7OdXy2G,paul-cezanne_apples-1878.jpg,Style,1,0
,22,IM_3Qs5keALtg7eMnk,thomas-cole_landscape-american-lake-in-summer.jpg,IM_e2S4DVajx8DWA50,paul-cezanne_still-life-with-green-pot-and-pewter-jug.jpg,Style,1,0
